WKT,name,description
"POINT (18.2235483 46.0743285)",Csinos Presszó,Buci:
"POINT (18.0545117 59.3267999)",Stockholm városháza,Béla & ZsG & Cshéé:
2023. 12. 19.
2023. 12. 19.
2023. 12. 19.

"POINT (18.0691649 59.3244096)",Stockholm szűk utca,Béla & ZsG & Cshéé:
2023. 12. 19.
ZsG:
2025. 10. 06.
"POINT (18.0705899 59.3278679)",Stockholm Riksdag,Béla & ZsG & Cshéé:
2023. 12. 19.
"POINT (21.6887028 65.8251188)",Boden,Béla & ZsG & Cshéé:
2023. 12. 20.
"POINT (20.5966921 67.8497319)",ICEHOTEL,Béla & ZsG & Cshéé:
2023. 12. 20.
"POINT (17.441305555555555 68.44147222222223)",Narvik station,Béla & ZsG & Cshéé:
2023. 12. 21.
"POINT (17.42488888888889 68.43483333333333)",Narvik,Béla & ZsG & Cshéé:
2023. 12. 22.
2023. 12. 22.

"POINT (18.9866349 69.6484797)",Arctic cathedral,Béla & ZsG & Cshéé:
2023. 12. 22.
"POINT (18.9755277 69.6518825)",Tromsø Bridge,Béla & ZsG & Cshéé:
2023. 12. 22.
"POINT (20.1997673 67.8679441)",Kiruna,Béla & ZsG & Cshéé:
2023. 12. 20.
"POINT (19.0628638 47.4973031)",HOPS BEER BAR BUDAPEST,Petaki:
2023. 12. 21.
"POINT (14.1617692 47.6885395)",Hinterstoder sífelvonó,Kopasz:
2024. 01. 06.
2024. 01. 06.

"POINT (14.1709789 47.6787498)",Hutterer Böden,Kopasz:
2024. 01. 06.
2024. 01. 06.
2024. 01. 06.

"POINT (14.1672707 47.677134)",Bärenhütte, Hinterstoder Hutterer Boden,Kopasz:
2024. 01. 06.
2024. 01. 06.
"POINT (14.1635548 47.7061029)",Hinterstoder,Kopasz:
2024. 01. 06.
"POINT (14.1299257 47.691997)",Koglhofweg,Kopasz:
2024. 01. 06.
2024. 01. 06.
"POINT (4.886972222222222 52.361583333333336)",Amsterdam,Kopasz:
2023. 10. 27.
2023. 10. 27.

"POINT (12.5442791 55.697212)",Kapros kebabos,Béla:
2024. 01. 21.
"POINT (19.0706514 47.487058)",4-es 6-os Corvin,Timi:
2024. 01. 27.
"POINT (19.1057073 47.5018695)",Papp László Budapest Sportaréna,Timi:
2024. 01. 27.
"POINT (19.0601932 47.494775)",Ördögsarok,Timi:
2024. 01. 27.
"POINT (19.0615806 47.5096278)",Pótkulcs,Dandu:
2024. 02. 08.
"POINT (20.1924873 47.1745456)",Lúdláb bisztró,Béla:
2024. 02. 09.
2025. 03. 01.
"POINT (2.1756793 41.4017653)",BLACKBIRD Coffee Corner,Lina:
2024. 02. 11.
"POINT (2.1524973 41.3916259)",Paco Meralgo Restaurante,Lina:
2024. 02. 12.
"POINT (2.1654726 41.3637807)",Castell de Montjuïc tetőterasza
,Lina:
2024. 02. 13.
"POINT (20.0598869 47.9257545)",Elizabeth Park Hotel,Timi:
2024. 02. 16.
"POINT (20.009558 47.872462)",Kékestető,Timi:
2024. 02. 17.
"POINT (19.0560812 47.4917449)",Red Ruin,Den:
2024. 02. 20.

"POINT (6.222611111111111 44.99755555555556)",Les 2 Alpes,Kopasz:
2023. 01. 25.
"POINT (20.91277 47.309759)",Karcag, Kádas iskola,Béla:
2024. 02. 23.
"POINT (-0.1740134 51.4941429)",South Kensington Tube,Kopasz:
2024. 03. 02.
"POINT (-0.0848024 51.5042625)",London Bridge railway station platform 14,Kopasz:
2024. 03. 03.
"POINT (-0.0208941 51.5062156)",London North Dock,Kopasz:
2024. 03. 03.
"POINT (-0.0746529 51.5040825)",Tower Bridge,Kopasz:
2024. 03. 03.
"POINT (-0.0729668 51.5036474)",Tower Bridge,Kopasz:
2024. 03. 03.
"POINT (-0.0751706 51.5059367)",Tower Bridge,Kopasz:
2024. 03. 03.
"POINT (-0.0741547 51.5083986)",Tower of London,Kopasz:
2024. 03. 03.
"POINT (-0.0767591 51.5096671)",Tower of London,Kopasz:
2024. 03. 03.
"POINT (12.378812 51.343657)",Liepzig Hauptbahnhof,Petaki:
2023. 10. 11.
"POINT (12.378026 51.340778)",Nikolaikirche Liepzig,Petaki:
2023. 10. 11.
"POINT (12.374592 51.33988)",Marktplatz Leipzig,Petaki:
2023. 10. 11.

"POINT (12.373411 51.33988)",Thomaskirche,Petaki:
2023. 10. 11.

"POINT (12.373464 51.336992)",Neues Rathaus,Petaki:
2023. 10. 11.
"POINT (12.5620582 55.6870532)",Sliders,Béla:
2024. 03. 05.
"POINT (16.3528868 48.1976502)",Haus des Meeres,Buci:
2024. 03. 06.
2023. 03. 06.
"POINT (16.3539587 48.19858)",AmmutsØn Craft Beer Dive,Buci:
2024. 03. 06.
"POINT (121.4911401 31.2410053)",Shanghai,Béla:
2024. 03. 07. 
"POINT (121.4801826 31.2358159)",Nanjing Road,Béla:
2024. 03. 07. 
"POINT (121.4991888 31.239021)",Oriental pearl tower,Béla:
2024. 03. 07.
2024. 03. 07.
"POINT (121.0535072 31.1085423)",Chenghuang temple,Béla:
2024. 03. 11.
2024. 03. 11.
"POINT (121.4451206 31.2413465)",Jade Buddha Temple,Béla:
2024. 03. 12.
2024. 03. 12.
"POINT (116.4522146 39.9164987)",The Place,Béla:
2024. 03. 13.

"POINT (19.060478 47.4914808)",Mélypont Presszó,Buci:
2024. 03. 13.
Petaki:
2024. 10. 10.
2024. 10. 10.
"POINT (19.0513712 47.4784293)",Szavanna Ivó 😼,Buci:
2022. nyara
"POINT (116.3971621 39.9168038)",Forbidden City,Béla:
2024. 03. 15.
"POINT (116.2754606 39.9999823)",Summer Palace,Béla:
2024. 03. 16.
